name,categories,lat,lng
Sayaji,Hotel,18.59953540618991,73.7549952061101
Natural Ice Cream,Ice Cream Shop,18.59119169262836,73.75243955724582
Barbeque Nation,BBQ Joint,18.599389591869766,73.75509038587762
Courtyard by Marriott,Hotel,18.59152702926924,73.74683097930983
Little Italy,Italian Restaurant,18.59151274236633,73.74366780400008
MoMo Cafe,Indian Restaurant,18.591649917117625,73.74701112681768
Portico - Sayaji,Indian Restaurant,18.599267775472452,73.75493532260735
The Gateway HOTEL,Hotel,18.591914007855575,73.7448765876003
Mezza 9,Mexican Restaurant,18.594147893142274,73.7345739256971
Urban Foundry,Lounge,18.569289409666702,73.7747245463514
Incognito,Italian Restaurant,18.570376414375,73.77460705928516
Food Street (Opp Symbiosis/I2IT),Food Truck,18.592693558984053,73.74208268396602
CopaCabana,Indian Restaurant,18.589073641597903,73.78248319675856
Accenture Services Pvt. Ltd.,IT Services,18.580927,73.736885
Shaolin- The Chinese Cuisine,Chinese Restaurant,18.58834307568542,73.78351414844718
D Mart,Department Store,18.591394831323328,73.7443236838029
Way Down South,South Indian Restaurant,18.56636563963199,73.77070666006395
Nevale Misal,Fast Food Restaurant,18.627925347893264,73.7808082364177
121 Kitchen : Bar,Indian Restaurant,18.593893849415267,73.76360660453777
Nawab Asia,Indian Restaurant,18.569553019776944,73.77466783664346
McDonald's,Fast Food Restaurant,18.570420602793007,73.77461905317524
Mainland China,Chinese Restaurant,18.591142286156536,73.74764190469449
Playboy Beer Garden,Brewery,18.57049357355062,73.77390083744952
Terttulia,Bistro,18.569279945639824,73.77469467616115
Bakers Hut,Bakery,18.64234168627472,73.7734371690597
Hotel Arihant,Snack Place,18.62681250466169,73.78245132113317
Four seasons,Restaurant,18.594074912813916,73.72990040221785
Fortune Inn Exotica,Hotel,18.590988146970982,73.7481201103472
Natural Ice Cream,Ice Cream Shop,18.64239884713216,73.7734371690597
Lemon Tree Hotel,Hotel,18.585771417876245,73.73427830550241
Subway,Sandwich Place,18.602922213603655,73.77688696318353
Subway,Sandwich Place,18.59626968572755,73.78919408694685
18 Degrees,Lounge,18.593509493723708,73.78587861112443
Croma,Electronics Store,18.590242592662218,73.77010487479674
Hotel Sadanand,Indian Restaurant,18.568349587226646,73.76667067485646
Punjabi Rasoi,Indian Restaurant,18.597058929091805,73.71957451733958
Cafe Coffee Day,Café,18.593421044897106,73.79546073318592
Domino's Pizza,Pizza Place,18.59556549976012,73.78851137166053
Cafe Coffee Day,Café,18.604069498485195,73.75309781963126
Apache - High Street,Bar,18.569373153385165,73.77473114995384
Cafe Coffee Day,Café,18.5884689083151,73.7828346796342
Joshi Wadewale,Fast Food Restaurant,18.610862952332262,73.74987316333802
E Square Xion Hinjewadi,Multiplex,18.59239341022894,73.74488449919531
Chai Tapri - I2IT / Symbiosis,Snack Place,18.585382449235283,73.736811876297
Tamanna Executive,Motel,18.586156349513097,73.73493889939796
Eternia,Lounge,18.59488775585025,73.72801124877951
D Mart,Convenience Store,18.64653098950432,73.75654109870007
The Chocolate Room,Coffee Shop,18.574754959252665,73.77732956313457
Subway,Sandwich Place,18.603248184156254,73.71608526387492
Spot 18 Mall,Shopping Mall,18.593470321716094,73.78618117715833
ARTHURS THEME,French Restaurant,18.570498974751526,73.7739517705572
Cafe Coffee Day,Café,18.590902588918713,73.74721396209324
KFC Restaurant,American Restaurant,18.593440105175873,73.78608253616997
Chhatrapati Shivaji Sports Complex,Stadium,18.575558598527564,73.76100540161133
Domino's Pizza,Pizza Place,18.59705,73.7149
Pizza Hut,Pizza Place,18.59317580232594,73.79839888049898
Saundarya Restaurant,Indian Restaurant,18.591474511375576,73.75165224916849
Cafe Coffee Day,Coffee Shop,18.59565426267427,73.71051328083746
D Mart,Department Store,18.566741779358132,73.7695464347438
Gong Modern Asian,Asian Restaurant,18.57046168149214,73.77414273325013
Ranjaai Garden,Indian Restaurant,18.593470456931968,73.75633183462378
Subway,Sandwich Place,18.570104742234818,73.77468498677447
Subway,Sandwich Place,18.59263924552307,73.79526232162308
KTM Baner,Motorcycle Shop,18.567427,73.776001
Apple 5,American Restaurant,18.588492343565544,73.78193673011188
Bay Leaf Bistro,Indian Restaurant,18.624702620497047,73.78407715737934
Domino's Pizza,Pizza Place,18.63,73.788
Wakad Bridge Tapri,Tea Room,18.591829679051905,73.75694990158081
Holiday Inn,Hotel,18.58088471470406,73.76051975858331
Cafe cool,Café,18.642340459494296,73.77355408560932
Hotel Ambience Executive,Hotel,18.600523284948263,73.77539630234898
Food Court 3,Food Court,18.59633614205061,73.70841297176214
SUBWAY,Sandwich Place,18.586529019757496,73.7366524654507
Cafe Nook,Café,18.56930805697316,73.78186532743666
KFC,Fast Food Restaurant,18.56490752716071,73.77448481271236
Khybar,Indian Restaurant,18.588461606350666,73.78303515871008
Sarovar,Diner,18.582646266961657,73.76105613429112
Citrus Cafe,Café,18.585750903381978,73.73427435048873
Hotel Rosewood,Indian Restaurant,18.61659187029637,73.76720415562845
IDC Express,Breakfast Spot,18.573778272662192,73.77698772493144
Jalebi Junction,Fast Food Restaurant,18.56443868134892,73.77535752201368
RushHrs,Fast Food Restaurant,18.589897518554732,73.7383957161389
Mast Kalandar,Vegetarian / Vegan Restaurant,18.593904309744513,73.73478557216318
McDonald's,Fast Food Restaurant,18.59585631769711,73.78872338286384
Sholay,Indian Restaurant,18.588158845820093,73.78360293471191
Food court 2,Food Court,18.595594549164694,73.71033250883609
Burger King,Fast Food Restaurant,18.6162,73.746506
Domino's Pizza,Pizza Place,18.597,73.715
McDonald's,Fast Food Restaurant,18.59383630754298,73.73553064893756
Swagat Family Restauramt,Indian Restaurant,18.624523951611675,73.74445584455188
Shree Mhatoba Snacks Center,Food Truck,18.586442633317382,73.73656627032491
Lai bhari kohlapuri restaurant,Indian Restaurant,18.622413686532834,73.7734888766366
Infinity - Post 91,Indian Restaurant,18.565235891732762,73.77416769853876
Domino's Pizza,Pizza Place,18.566547499642557,73.76992446965724
Zoom In,Food Court,18.642709518056794,73.75308293928273
Annapoorna - Veg. Treat,Indian Restaurant,18.632487306924105,73.7849048629632
Cream Stone,Ice Cream Shop,18.597703214919267,73.8001796886258
The Ruby,Multicuisine Indian Restaurant,18.561968,73.738945
DoubleTree By Hilton Pune,Hotel,18.64241343459833,73.79849466234091
Natural Icecream,Ice Cream Shop,18.636608679665343,73.79642281585737
Little Italy,Italian Restaurant,18.644544988209127,73.79099337045375
Optimum Health Club,Gym / Fitness Center,18.634550700242603,73.79824541838458
Space Studios,Dance Studio,18.628401,73.804368
Ratna Hotel,Indian Restaurant,18.625636510782794,73.80521272370953
Chinchwad Railway Station,Train Station,18.64021188847298,73.79182698615519
Sigree Global Grill,Indian Restaurant,18.63292776865862,73.80006740939267
Croma,Electronics Store,18.625418668232076,73.80167393314457
Geeta Paav Bhaaji,Fast Food Restaurant,18.655887206775436,73.77364707232329
Pizza Hut,Pizza Place,18.629963460941116,73.8034425473035
Naidu Coffee Center,Coffee Shop,18.65393601431995,73.77144458054529
Naturals Icecream,Ice Cream Shop,18.595114413559774,73.80389799740048
Beyond Fitness,Gym,18.633731105269526,73.79904398302361
SKS Katthi Kabab Rolls,Asian Restaurant,18.648233513681046,73.76580479257629
Tiranga,Indian Restaurant,18.62831330622216,73.80349711928908
Domino's Pizza,Pizza Place,18.636,73.796
China Grill,Chinese Restaurant,18.63310323960585,73.80014522152304
Cafe Coffee Day,Coffee Shop,18.627324969409205,73.80416634320369
Grand Exotica,Hotel Bar,18.64810004329831,73.78821924567106
Kimling Rush,Chinese Restaurant,18.592981240142333,73.80120795444465
Delhi Swad,Indian Restaurant,18.656914890862094,73.76988739995825
Domino's Pizza,Pizza Place,18.653,73.81
Keys Hotel Pimpri-Pune,Hotel,18.6319699273361,73.80155262333722
Shawarma King,Middle Eastern Restaurant,18.649123944956735,73.76547961000723
Bhel Chowk,Snack Place,18.6560335866761,73.77109307819687
Domino's Pizza,Pizza Place,18.65800066327875,73.77608556834879
Cafe Coffee Day,Café,18.635967698007214,73.79622095920782
Mahadev Patiswala,Breakfast Spot,18.62014583042024,73.80362062431706
Cafe Aroma,Café,18.650154963619897,73.76656638835304
KFC,Fast Food Restaurant,18.607925397450717,73.82094503079585
Foodies Corner,Thai Restaurant,18.647839383982145,73.77079317045967
Om Shiv Bhel,Snack Place,18.656358757556053,73.76999661964406
PapaJee's,Indian Restaurant,18.664049104804803,73.80981300958096
McDonald's,Fast Food Restaurant,18.59850141074531,73.83089324288922
Pimpri Market,Market,18.62184955775321,73.80229365951044
Pizza Hut,Pizza Place,18.658638139560722,73.77664875872894
Rasoi Se,Diner,18.656126398078232,73.76962124815076
D-mart,Shopping Mall,18.614135771252464,73.78473208413817
Crosswords,Bookstore,18.635932352542934,73.7961973730768
Eat- The Good Food Place,Mexican Restaurant,18.65377051272392,73.77121373060317
McDonald's,Fast Food Restaurant,18.636638568767065,73.796581959627
Premier Plaza,Shopping Mall,18.636110696945348,73.79627840342022
Naturals,Ice Cream Shop,18.629405683770308,73.79640550539963
Café Crème,Café,18.64828230621217,73.76593942891589
Gayatri Pure Veg Restaurant,Asian Restaurant,18.658614255720988,73.7689867760805
Campfire,Indian Restaurant,18.656829762039223,73.77045534284034
Fountain inn,Hotel,18.6006435032724,73.78010576917275
Bird Valley Resto bar,Restaurant,18.65677283122612,73.80351987604139
Bird Valley Bar And Restaurant,North Indian Restaurant,18.59057666296339,73.80429271999535
McDonald's,Fast Food Restaurant,18.608546237306665,73.77045583054789
Star Bazaar,Department Store,18.648005052486802,73.78734602478303
Dalchini,Indian Restaurant,18.595909953543487,73.78878447541025
Savali Hotel,Vegetarian / Vegan Restaurant,18.658275954818606,73.77660895272238
Kareem's - Kebabs-Curries-Biryanis,Indian Restaurant,18.595658803043825,73.78851141269595
Eatsome,Snack Place,18.595382203838007,73.78733453500902
Rangla Punjab,Punjabi Restaurant,18.593962,73.79414
Sher-e-Punjab,Indian Restaurant,18.60232881587265,73.82558031654254
YOLO Gastro Bar,Gastropub,18.593720585077623,73.78609363551826
desi treat,Indian Restaurant,18.596009169509603,73.78076802088798
Shree Yash,Indian Restaurant,18.627334754154425,73.84144400403844
Jagtap dairy chowk,Bus Station,18.59240089121168,73.7852318952181
Wingate Wines,Wine Shop,18.59009295839726,73.78922459393029
Gaarva,Indian Restaurant,18.661572626249853,73.77626957551584
Durga veg Restra,Indian Restaurant,18.588211681027666,73.78415184211835
Waghjai Restaurant and Bar,Restaurant,18.587390971106444,73.78633492213508
Physc Gym,Gym,18.63672651916756,73.84536090955913
Vijay Snacks Centre,Snack Place,18.588423338360307,73.78256047663163
Arvind Wines,Liquor Store,18.588400625858807,73.78236514569745
cafe classic,Café,18.603562989566875,73.76310687621108
Chondhe Patil Badminton Academy,Recreation Center,18.58744465064073,73.78385144332628
khyber Paan Shop,Food Truck,18.588535992893327,73.7795213354487
Global Punjab,Restaurant,18.595388,73.76907
Crosswords,Bookstore,18.556177260208784,73.80913090623139
Polka Dots,Diner,18.560395538316367,73.80711867982671
Westend mall,Shopping Mall,18.561814327331174,73.80722022679363
Yolkshire,English Restaurant,18.55357605468349,73.80688828707882
Cinepolis IMAX,Multiplex,18.561756116760286,73.80719213146286
Naturals Icecream,Ice Cream Shop,18.556192387421536,73.80916850500064
Starbucks Coffee: A Tata Alliance,Coffee Shop,18.55659485262278,73.80915264466924
Mithas,Dessert Shop,18.55463494319024,73.80936941321386
Gold's Gym,Gym,18.553561008319413,73.80756434893296
Pagdandi,Coffee Shop,18.55197242132442,73.79309090542617
P N Gadgil,Jewelry Store,18.563758910184546,73.80744437133352
Cafe Peter Donuts,Donut Shop,18.55774038538134,73.80440120069147
Lost The Plot,Lounge,18.55441705754062,73.80480775361278
Taareef,Indian Restaurant,18.556076771010513,73.80912043821498
Picantos Mexican Grill,Mexican Restaurant,18.560654041998944,73.81244739763484
Kimling,Chinese Restaurant,18.565834369037912,73.80360347430938
Aaoji Khhaoji,Indian Restaurant,18.56265703054219,73.82931038865844
Fab India,Clothing Store,18.555290266247177,73.80932589757768
Richie's Cake Shop,Bakery,18.560734366373996,73.8047235493629
Nature's Basket,Grocery Store,18.563791260064082,73.80744259964197
La Bouchee d'Or,Bakery,18.558395340284914,73.8037872123466
Malaka Spice,Malay Restaurant,18.55947591740865,73.7904085891615
SugarDough,Bakery,18.548495811453005,73.79121229613486
Cream Stone,Ice Cream Shop,18.553448166130234,73.80255142769138
JW Marriott Hotel Pune,Hotel,18.532412382577437,73.82984161376953
Air Life Studio,Gym,18.553572828434206,73.80696545202225
The Chocolate Room,Chocolate Shop,18.56656840719089,73.80744134307663
Effingut Brewerkz,Brewery,18.554308771218146,73.79815783996047
Spice Kitchen,Asian Restaurant,18.531886864925845,73.82957091082835
Idlicious,South Indian Restaurant,18.561765019102616,73.78364615844218
Paasha,Lounge,18.53207679304871,73.82956401247087
Pune Baking Company,Bakery,18.531971811632015,73.82983372978156
Cafe Old Skool,Café,18.55347974158186,73.80757837391056
Crossword,Bookstore,18.534814421312817,73.8297701691517
"Lobby Lounge, JW Marriott",Lounge,18.531915245410474,73.82962901996032
Kiva,Lounge,18.538458921457806,73.83686293507155
Central Perk-7,BBQ Joint,18.551986095096108,73.79295774273083
Alto Vino,Italian Restaurant,18.53197888529939,73.82979570889925
Khasbaug Misal,Breakfast Spot,18.560822629857885,73.78759879964393
The Pavillion,Shopping Mall,18.532861,73.829802
Chutney Sauce Murabba,Fast Food Restaurant,18.551995075609206,73.79306579707719
Little Italy,Italian Restaurant,18.534828001784856,73.83812201948804
Desi Aroma,Indian Restaurant,18.558095277346872,73.79269645772936
Starbucks at Pavilion,Coffee Shop,18.5346313068626,73.82984338712804
Oriental Connexions,Chinese Restaurant,18.538021566123753,73.83564603949314
The K Factory,Molecular Gastronomy Restaurant,18.55885450693432,73.79177886024236
Miami,Nightclub,18.532031656442765,73.82983294825146
Giridhar,Snack Place,18.555695,73.794586
NH 37,Indian Restaurant,18.53853115482067,73.83423913837106
Deccan Hills,Indian Restaurant,18.540068227898335,73.82299559809623
Shakahari,Vegetarian / Vegan Restaurant,18.53186512027384,73.82956454603062
Mainland China,Chinese Restaurant,18.531659593909822,73.82975495714788
Chittaranjan Vatika,Theme Park,18.53211567654188,73.8375602848037
All Stir Fry,Asian Restaurant,18.538021309078747,73.83565973310837
South Indies,Indian Restaurant,18.535064394049556,73.83839730865662
Coffee Stop,Coffee Shop,18.53643039728413,73.8338918928869
ARAI Hilltop,Other Great Outdoors,18.51973678124073,73.81767671579341
Vetal Tekdi,Trail,18.522266437316244,73.81834876387788
Paramhans Dining Hall,Indian Restaurant,18.564306,73.77861
Area 51,Lounge,18.557373828658736,73.7870979309082
Tsaai Shen Yeh,Chinese Restaurant,18.5519964049449,73.79311001692894
Yaara Di Haveli,Punjabi Restaurant,18.560873260187908,73.7682512868345
Rangla Punjab,Indian Restaurant,18.542539410542897,73.77636750177292
Wazwaan,Indian Restaurant,18.56126861159746,73.7857538640578
Mini Wok,Chinese Restaurant,18.532703912393053,73.83405542211443
Bottle Rock,Beer Garden,18.546889538944182,73.77274911228194
Hotel Maharaja,Hotel Bar,18.582983520875874,73.8252146287508
Domino's Pizza,Pizza Place,18.55645744434366,73.79451551460608
Cafe Coffee Day,Café,18.564362735673388,73.77908355741718
Amantran Pure Veg,Restaurant,18.591898545486192,73.83074599712145
Baskin Robbins,Ice Cream Shop,18.54419598,73.78224714
The Great Punjab,Indian Restaurant,18.559498679890776,73.79004017896312
Natural Icecream,Ice Cream Shop,18.558341195565667,73.79239151036417
Shiv Sagar Veg,Indian Restaurant,18.559197524794882,73.79075568064692
Jalebi Junction,Dessert Shop,18.556701575524585,73.79431392843458
Regalia Restaurant And Lounge,Lounge,18.559474160345307,73.7902127027067
Cafe Coffee Day,Café,18.500139500489336,73.814253581129
The Katta,Café,18.495362026863766,73.81287635433637
Barometer,Café,18.498824117966002,73.81923973485303
Hidden Place - The Hangout,Pub,18.509107380632898,73.81227999661668
Le Petite Amour,French Restaurant,18.500079160790044,73.81405297071419
Endurance Fitness Club,Gym / Fitness Center,18.49923478118509,73.8211173481927
Naturals Icecream,Ice Cream Shop,18.502131151739757,73.81583585824387
The Chocolate Room,Dessert Shop,18.509691206129006,73.81362140293946
Khatris Ice Cream And Mastani,Ice Cream Shop,18.489994934303883,73.82609268725957
Golds Gym Kothrud,Gym,18.49911870210435,73.8215596288252
Sudit Su's Chinese,Chinese Restaurant,18.495267323913957,73.812487704967
Sheetal Hotel,Vegetarian / Vegan Restaurant,18.502301724622903,73.81611918532329
Aasing's Kitchen,Burger Joint,18.514029983480278,73.82874953293054
Yolkshire,Breakfast Spot,18.50281548802023,73.82169046656016
Nisarg (निसर्ग),Seafood Restaurant,18.50673697431568,73.8320165290297
Le Plaisir,Bistro,18.51420497479481,73.83855092544634
McDonald's,Fast Food Restaurant,18.50790844458206,73.79653085601878
IDDOS,South Indian Restaurant,18.510441175381686,73.81644541010897
Cafe Coffee Day,Café,18.508349077227138,73.790044135898
Cheezy Bites,Café,18.508484555988723,73.82236999541298
Pu La Deshpande Garden,Garden,18.49306197499458,73.8358786482728
Club Solaris,Gym / Fitness Center,18.505787702309885,73.81968902388618
Subway,Sandwich Place,18.50182018294553,73.82188315983868
Café GoodLuck,Café,18.5173883002662,73.8414854187446
Fish Curry Rice,Seafood Restaurant,18.51071284516824,73.82962345541556
Amruteshwar,Fast Food Restaurant,18.508532197249476,73.83092588213361
National Film Archives of India (NFAI),General Entertainment,18.515930148620026,73.8292254679222
Manisha Bhel Panipuri Snacks Center,Snack Place,18.493215030926333,73.82562561652861
Hotel Roopali,Indian Restaurant,18.519342952744918,73.84133382675628
Natural IceCream,Dessert Shop,18.5142516060051,73.78238738798127
Ganesh Bhel,Chaat Place,18.50014825818537,73.82668734280797
Barbeque Nation,BBQ Joint,18.516237355048084,73.84222283288595
Vaishali | वैशाली,South Indian Restaurant,18.52090576092219,73.84128332227108
Fish Curry Rice,Seafood Restaurant,18.510986233786202,73.82960666625144
The Lunges Health Club.,Gym,18.519542311093517,73.83118616765026
Mad Over Donuts,Donut Shop,18.519335111404256,73.84531961315069
Panchvati Gaurav,Indian Restaurant,18.51787902732216,73.83862257779535
Ruchi,Snack Place,18.494487894211854,73.8253064424055
Pastry Corner,Bakery,18.50891985125201,73.83056534907344
Bipin Snacks And Juice Bar,Snack Place,18.513013126098517,73.83992106106976
German Bakery WunderBar,Bistro,18.52004603720397,73.83043022574356
Ranade Tapri,Fast Food Restaurant,18.518439123214733,73.84118200709439
Shaukeen,Smoke Shop,18.508270905470848,73.83150724373515
Subway,Sandwich Place,18.51924382142252,73.7786081340979
Tilak Hotel,Snack Place,18.50960261815985,73.84688277838784
Parvati,Trail,18.498190564461044,73.84958786400306
Flavours,Sandwich Place,18.51893083023205,73.84140902977073
Wadeshwar,Vegetarian / Vegan Restaurant,18.518656145726464,73.84148287858373
Katakirr Misal,Snack Place,18.51137166374587,73.8336714487756
Supreme Pav Bhaji and Pizza (Canal Road Branch),Pizza Place,18.513946111091535,73.83078312673891
Sujata Mastani,Ice Cream Shop,18.511792754341577,73.85214493967393
Krishna Juice Bar,Juice Bar,18.52355342051691,73.84765077882606
Cafe Coffee Day,Coffee Shop,18.508258085706352,73.78281722835911
DJINN,Café,18.51075946586421,73.79041476848448
Hotel Madhuban,Tea Room,18.519248295410485,73.84868804177536
Bhagat Tarachand,Indian Restaurant,18.514332265559556,73.85131729012238
Mohan Ice Cream,Ice Cream Shop,18.520619663670587,73.84606955610744
Starbucks Coffee - A TATA Alliance,Coffee Shop,18.52253776359269,73.84103656012874
Shabree,Indian Restaurant,18.52459075247133,73.8416670504523
Raja Dinkar Kelkar museum,History Museum,18.510743623888896,73.85438919067383
Venus Traders,Stationery Store,18.5194544398586,73.84206964204846
Sukanta,Vegetarian / Vegan Restaurant,18.51694169413758,73.84428399256002
Khatri Ice Cream & Mastani,Ice Cream Shop,18.470164475678125,73.8211116042819
Janaseva Bhojanalaya,Indian Restaurant,18.515952515103418,73.84241580963135
Modern PDMBA Sports Complex,Stadium,18.52551169684312,73.84787007012933
Relax Pure Veg,Vegetarian / Vegan Restaurant,18.49038966316352,73.84982821455138
Café Coffee Day,Coffee Shop,18.5231306426117,73.84834705709581
Sharvaree,Indian Restaurant,18.524576447398676,73.84164666107726
Peter's Momo Center,Chinese Restaurant,18.515040704259913,73.78209764883584
Richie's,Bakery,18.519495119551646,73.77866206464292
The Chocolate Room,Coffee Shop,18.518450934654,73.84157442251627
Shahji's Paratha House,Vegetarian / Vegan Restaurant,18.52260120168244,73.84441289536777
By The Way,Italian Restaurant,18.525058508695786,73.84154053093603
The Breakfast Cafe,Café,18.52337427516029,73.78048739579573
Taljai Tekadi,Mountain,18.481998566387208,73.84788790409162
Chitale Bandhu Mithaiwale,Dessert Shop,18.515742642741714,73.8418978810121
KFC,Fast Food Restaurant,18.51636540601343,73.84271277231954
Bal Gandharva Ranga Mandir,Theater,18.52233273885281,73.84801999609671
Aware Maratha Khanawal,Indian Restaurant,18.512948403914418,73.84519971682283
Khandesh,Indian Restaurant,18.508374712783354,73.79220786321342
Supreme Corner,Fast Food Restaurant,18.520528059619732,73.84616365830843
Tasty Tongues Delhi Chat,Chaat Place,18.515081303242948,73.78211249702444
Malaka Spice,Asian Restaurant,18.537518673312757,73.89771858071614
Dario's Restaurant,Italian Restaurant,18.537206767573423,73.88881333674352
the French Window Patisserie,Bakery,18.537709,73.89799
Squisito,Italian Restaurant,18.536394997196474,73.89719285787717
Conrad Pune,Hotel,18.535019901932454,73.88305602024062
Modern Cakes,Bakery,18.534794957177542,73.89767311937116
Boteco,Brazilian Restaurant,18.534252233706862,73.89929724785704
